RunId,iteration,Step,height,width,radius,stoats,food_density,traps,Stoats,Food
0,0,2000,50,50,10,5,0.1,0,13,0
1,0,2000,50,50,10,5,0.25,0,28,0
2,0,2000,50,50,10,5,0.5,0,24,6
3,1,1363,50,50,10,5,0.1,0,0,6
4,1,2000,50,50,10,5,0.25,0,17,0
5,1,2000,50,50,10,5,0.5,0,34,0
6,2,1257,50,50,10,5,0.1,0,0,1
7,2,2000,50,50,10,5,0.25,0,15,0
8,2,2000,50,50,10,5,0.5,0,32,0
9,0,466,50,50,10,15,0.1,0,0,0
10,0,2000,50,50,10,15,0.25,0,9,0
11,0,2000,50,50,10,15,0.5,0,41,0
12,1,2000,50,50,10,15,0.1,0,19,0
13,1,2000,50,50,10,15,0.25,0,3,7
14,1,2000,50,50,10,15,0.5,0,30,0
15,2,441,50,50,10,15,0.1,0,0,0
16,2,2000,50,50,10,15,0.25,0,17,0
17,2,2000,50,50,10,15,0.5,0,40,0
18,0,1488,50,50,10,25,0.1,0,0,1
19,0,2000,50,50,10,25,0.25,0,18,5
20,0,2000,50,50,10,25,0.5,0,44,3
21,1,1242,50,50,10,25,0.1,0,0,4
22,1,1151,50,50,10,25,0.25,0,0,20
23,1,2000,50,50,10,25,0.5,0,20,0
24,2,1013,50,50,10,25,0.1,0,0,9
25,2,2000,50,50,10,25,0.25,0,15,2
26,2,2000,50,50,10,25,0.5,0,38,0
0,0,220,50,50,10,5,0.1,5,0,0
1,0,999,50,50,10,5,0.25,5,0,3
2,0,999,50,50,10,5,0.5,5,0,15
3,1,762,50,50,10,5,0.1,5,0,2
4,1,1890,50,50,10,5,0.25,5,0,6
5,1,2000,50,50,10,5,0.5,5,9,7
6,2,999,50,50,10,5,0.1,5,0,0
7,2,999,50,50,10,5,0.25,5,0,5
8,2,999,50,50,10,5,0.5,5,0,7
9,0,396,50,50,10,15,0.1,15,0,0
10,0,999,50,50,10,15,0.25,15,0,6
11,0,437,50,50,10,15,0.5,15,0,10
12,1,227,50,50,10,15,0.1,15,0,0
13,1,999,50,50,10,15,0.25,15,0,16
14,1,999,50,50,10,15,0.5,15,0,13
15,2,448,50,50,10,15,0.1,15,0,0
16,2,539,50,50,10,15,0.25,15,0,10
17,2,796,50,50,10,15,0.5,15,0,11
18,0,92,50,50,10,25,0.1,25,0,0
19,0,100,50,50,10,25,0.25,25,0,9
20,0,309,50,50,10,25,0.5,25,0,7
21,1,321,50,50,10,25,0.1,25,0,4
22,1,127,50,50,10,25,0.25,25,0,6
23,1,603,50,50,10,25,0.5,25,0,8
24,2,91,50,50,10,25,0.1,25,0,4
25,2,127,50,50,10,25,0.25,25,0,8
26,2,517,50,50,10,25,0.5,25,0,1
0,0,76,50,50,10,5,0.1,10,0,0
1,0,999,50,50,10,5,0.25,10,0,27
2,0,560,50,50,10,5,0.5,10,0,5
3,1,48,50,50,10,5,0.1,10,0,2
4,1,194,50,50,10,5,0.25,10,0,13
5,1,891,50,50,10,5,0.5,10,0,5
6,2,84,50,50,10,5,0.1,10,0,2
7,2,283,50,50,10,5,0.25,10,0,0
8,2,1242,50,50,10,5,0.5,10,0,8
0,0,31,50,50,10,15,0.1,30,0,2
1,0,132,50,50,10,15,0.25,30,0,3
2,0,333,50,50,10,15,0.5,30,0,14
3,1,75,50,50,10,15,0.1,30,0,4
4,1,82,50,50,10,15,0.25,30,0,13
5,1,101,50,50,10,15,0.5,30,0,5
6,2,63,50,50,10,15,0.1,30,0,2
7,2,185,50,50,10,15,0.25,30,0,4
8,2,182,50,50,10,15,0.5,30,0,4
0,0,51,50,50,10,25,0.1,50,0,0
1,0,120,50,50,10,25,0.25,50,0,15
2,0,121,50,50,10,25,0.5,50,0,8
3,1,74,50,50,10,25,0.1,50,0,0
4,1,35,50,50,10,25,0.25,50,0,7
5,1,95,50,50,10,25,0.5,50,0,10
6,2,137,50,50,10,25,0.1,50,0,0
7,2,47,50,50,10,25,0.25,50,0,3
8,2,168,50,50,10,25,0.5,50,0,1